review_id,video_id,video_title,source_url,published_at,segment,player_name,mentioned_restaurant,decision,relation_type,confidence,reason,db_action
video-2023-01,klD5NF1d1ZQ,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=5s,2023-03-15,00:05,김호령,맛찬들왕소금구이,included,direct_recommendation,high,선수 직접 추천,kia-food-017 관계 추가
video-2023-02,klD5NF1d1ZQ,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=30s,2023-03-15,00:30,송후섭,명화식육식당,included,direct_recommendation,high,선수 직접 추천,kia-food-015 직접 근거 추가
video-2023-03,klD5NF1d1ZQ,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=40s,2023-03-15,00:40,이태규,광주보쌈,included,direct_recommendation,high,선수 직접 추천,kia-food-018 직접 근거 추가
video-2023-04,klD5NF1d1ZQ,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=50s,2023-03-15,00:50,윤영철,청년다방,excluded,corrected_non_recommendation,high,2025년 공식 영상에서 좋아하는 음식 발언이 맛집 추천처럼 편집된 것이라고 정정,추천 DB 미반영
video-2023-05,klD5NF1d1ZQ,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=89s,2023-03-15,01:29,유승철,삼평식당 동명점,included,direct_recommendation,high,선수 직접 추천,kia-food-034 신규 추가
video-2023-06,klD5NF1d1ZQ,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=126s,2023-03-15,02:06,김석환,진식당,included,direct_recommendation,high,선수 직접 추천,kia-food-014 관계 추가
video-2023-07,klD5NF1d1ZQ,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=130s,2023-03-15,02:10,김석환,산수쌈밥,included,direct_recommendation,high,선수 직접 추천,kia-food-016 직접 근거 추가
video-2023-08,klD5NF1d1ZQ,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=250s,2023-03-15,04:10,나성범,농성화로,included,direct_recommendation,high,선수 직접 추천,kia-food-007 직접 근거 추가
video-2023-09,klD5NF1d1ZQ,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=297s,2023-03-15,04:57,류지혁,서울식사리,included_with_review,direct_recommendation,medium-high,영상 표기와 현재 상호의 연속성 검수 필요,kia-food-036 신규·주소검수
video-2023-10,klD5NF1d1ZQ,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=309s,2023-03-15,05:09,김규성,마포선장,included_with_review,direct_recommendation,high,추천은 직접 확인했으나 지점 미지정,kia-food-035 신규·지점검수
video-2023-11,klD5NF1d1ZQ,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=358s,2023-03-15,05:58,한승택,진식당,included,direct_recommendation,high,선수 직접 추천,kia-food-014 직접 근거 추가
video-2023-12,klD5NF1d1ZQ,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=449s,2023-03-15,07:29,윤중현,독도횟집,included_with_label,family_owned,high,선수 가족 운영 식당 소개,kia-food-028에 가족 운영 표시
video-2023-13,klD5NF1d1ZQ,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=465s,2023-03-15,07:45,홍종표,서울깍두기,included_with_review,direct_recommendation,medium-high,최종 정리 카드에서 확인했으나 지점 미지정,kia-food-037 신규·지점검수
video-2023-14,klD5NF1d1ZQ,KIA 공식 영상 - 순도 100% 광주 현지인 맛집 추천,https://www.youtube.com/watch?v=klD5NF1d1ZQ&t=285s,2023-03-15,약 04:45,,팔미분식,excluded_pending_review,unresolved_mention,low,발화자·지점 및 광주 범위 여부를 안정적으로 확정하지 못함,추천 DB 미반영
video-2025-01,aNZ3LVyw4SA,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA&t=43s,2025-02-18,00:43,윤영철,떡볶이 대통령,included,direct_recommendation,high,선수 직접 추천,kia-food-001 직접 근거 추가
video-2025-02,aNZ3LVyw4SA,KIA 공식 영상 - 광주 현지 선수들이 추천하는 맛집,https://www.youtube.com/watch?v=aNZ3LVyw4SA&t=51s,2025-02-18,00:51,최지민,삼일집,included,direct_recommendation,high,선수 직접 추천,kia-food-006 관계 추가
