source,source_place_id,name,region,sigungu,category,description,road_address,lot_address,latitude,longitude,phone,website_url,image_url,duration_minutes,indoor,rain_ok,family_friendly,parking_available,wheelchair_accessible,pet_friendly,requires_reservation,price_min,price_max,status,public_transport_score,source_url,source_updated_at,last_verified_at,license,quality_status
tourapi,2783851,경암근린공원,광주 광산구,광산구,관광지,,전남광주통합특별시 광산구 하남대로54번안길 133 (하남동),,35.17832212,126.8000978,광주 광산구청 도시공원과 062-960-8712,,http://tong.visitkorea.or.kr/cms/resource/84/3528384_image2_1.jpg,90,False,False,False,True,,,,,,active,0.5,https://www.data.go.kr/data/15101578/openapi.do,2026-06-30T18:44:28+00:00,,Type1,draft
tourapi,127069,관덕정 국궁 체험,광주 남구,남구,관광지,,전남광주통합특별시 남구 사직길 49,,35.14192534,126.9118638,062-671-8383,,http://tong.visitkorea.or.kr/cms/resource/46/3350246_image2_1.jpg,90,False,False,False,,,,,,,active,0.5,https://www.data.go.kr/data/15101578/openapi.do,2026-06-30T21:26:27+00:00,,Type3,draft
tourapi,128158,광주 경찰충혼탑,광주 남구,남구,관광지,,전남광주통합특별시 남구 사직길 49,,35.142542,126.9155968,062-675-3280,,http://tong.visitkorea.or.kr/cms/resource/37/3366737_image2_1.jpg,90,False,False,False,False,,,,,,active,0.5,https://www.data.go.kr/data/15101578/openapi.do,2026-06-30T21:26:27+00:00,,Type3,draft
tourapi,2605353,광주 송정동 떡갈비 골목,광주 광산구,광산구,관광지,,전남광주통합특별시 광산구 광산로29번길,,35.13971527,126.7943076,전남광주통합특별시 광산구청 062-960-8114,,http://tong.visitkorea.or.kr/cms/resource/89/3367489_image2_1.jpg,90,False,False,False,,,,,,,active,0.5,https://www.data.go.kr/data/15101578/openapi.do,2026-06-30T21:27:26+00:00,,Type3,draft
tourapi,2822573,광주 수완호수공원,광주 광산구,광산구,관광지,,전남광주통합특별시 광산구 장신로82번길 57 공원관리사무소,,35.18798248,126.8202597,광주광역시 광산구청 공원녹지과 062-960-8705,,http://tong.visitkorea.or.kr/cms/resource/65/2822565_image2_1.jpg,90,False,False,False,True,,,,,,active,0.5,https://www.data.go.kr/data/15101578/openapi.do,2026-06-30T18:44:28+00:00,,Type1,draft
tourapi,127325,광주 충효동 왕버들 군,광주 북구,북구,관광지,,전남광주통합특별시 북구 충효샘길 7 (충효동),,35.184872,127.0009521,062-410-6140,,http://tong.visitkorea.or.kr/cms/resource/50/3350350_image2_1.jpg,90,False,False,False,True,,,,,,active,0.5,https://www.data.go.kr/data/15101578/openapi.do,2026-06-30T21:26:27+00:00,,Type3,draft
tourapi,2489843,광주 평촌마을,광주 북구,북구,관광지,,전남광주통합특별시 북구 평촌길 15,,35.17562876,127.0105543,062-266-2287,,http://tong.visitkorea.or.kr/cms/resource/88/3367188_image2_1.jpg,90,False,False,False,True,,,,,,active,0.5,https://www.data.go.kr/data/15101578/openapi.do,2026-06-30T18:44:28+00:00,,Type3,draft
tourapi,126329,광주호,광주 북구,북구,관광지,,전남광주통합특별시 북구 충효샘길 7 (충효동),,35.18408042,127.0010882,062-613-7892,,http://tong.visitkorea.or.kr/cms/resource/04/3368304_image2_1.jpg,90,False,False,False,True,,,,,,active,0.5,https://www.data.go.kr/data/15101578/openapi.do,2026-06-30T21:26:27+00:00,,Type3,draft
tourapi,126425,국립 5·18 민주묘지,광주 북구,북구,관광지,,전남광주통합특별시 북구 민주로 200 (운정동),,35.23257671,126.9415423,062-268-0518,,http://tong.visitkorea.or.kr/cms/resource/81/1587681_image2_1.jpg,90,False,False,False,True,,,,,,active,0.5,https://www.data.go.kr/data/15101578/openapi.do,2026-06-30T21:26:27+00:00,,Type3,draft
tourapi,1621334,금남로,광주 동구,동구,관광지,,전남광주통합특별시 동구 금남로 일대 (금남로5가),,35.15385175,126.9106747,전남광주통합특별시 동구청 관광진흥과 062-613-3633,,http://tong.visitkorea.or.kr/cms/resource/73/3459973_image2_1.jpg,90,False,False,False,,,,,,,active,0.5,https://www.data.go.kr/data/15101578/openapi.do,2026-06-30T21:26:27+00:00,,Type3,draft
tourapi,127356,너릿재공원,광주 동구,동구,관광지,,전남광주통합특별시 동구 남문로 48-8 (선교동),,35.08037743,126.9535617,화순군 관광기획팀 061-379-3501,,http://tong.visitkorea.or.kr/cms/resource/10/3366810_image2_1.jpg,90,False,False,False,True,,,,,,active,0.5,https://www.data.go.kr/data/15101578/openapi.do,2026-06-30T21:26:27+00:00,,Type3,draft
tourapi,2470068,녹색에너지체험관 (광주전남지역본부),광주 북구,북구,관광지,,전남광주통합특별시 북구 첨단과기로 123,,35.22743116,126.8416346,062-602-0001,,http://tong.visitkorea.or.kr/cms/resource/88/3040988_image2_1.jpg,90,False,False,True,True,,,,,,active,0.5,https://www.data.go.kr/data/15101578/openapi.do,2026-06-30T18:44:28+00:00,,Type3,draft
